X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
2709,59,11,120,43,150,228,217,120,2114,0.66,269, FC11, CA49,R1,Melon
2802,54,7,0,0,693,224,225,136,162,0.35,195, FC11, CA50,,Melon
2325,28,12,0,0,1260,215,213,133,162,0.89,750, FC14, CA26,,Carrot
2837,112,8,272,16,3649,235,231,128,6221,0.27,-155, FC11, CA32,,Orange
2509,59,7,134,10,900,226,226,134,5184,0.93,88, FC11, CA38,,Melon
2892,75,7,95,9,1889,228,228,133,2371,0.79,39, FC13, CA42,,Apple
2848,,15,819,91,2190,181,245,203,1717,0.98,-408, FC13, CA37,,Melon
2380,130,27,228,139,300,252,212,69,1855,0.51,231, FC14, CA23,,Carrot
3208,0,9,124,-2,5394,206,222,154,900,0.97,-740, FC11, CA42,R2,Apple
2273,357,12,30,3,658,201,218,155,698,0.48,648, FC14, CA24,,Berry
2104,134,15,0,0,1380,243,231,113,859,0.1,-826, FC14, CA21,,Carrot
2866,317,11,153,-14,1668,190,230,180,1406,0.21,578, FC13, CA43,,Melon
2741,63,31,108,-12,124,229,160,40,1504,0.55,695, FC11, CA50,R3,Melon
2561,0,5,127,12,1556,213,231,156,1642,0.82,-214, FC13, CA22,,Melon
2251,105,22,30,11,1505,251,207,72,351,0.01,716, FC14, CA23,R2,Berry
2239,153,20,0,0,700,240,236,116,470,0.02,-903, FC14, CA24,R1,Carrot
3245,,3,564,66,4387,220,233,150,2650,0.55,4, FC11, CA42,,Apple
2562,,3,0,0,1116,221,233,148,5091,0.72,-643, FC11, CA36,,Orange
2293,111,28,255,106,1032,254,197,50,1290,0.27,151, FC14, CA23,,Carrot
2919,169,19,437,170,1802,231,244,136,977,0.55,-539, FC13, CA33,,Melon
3157,307,27,120,35,2971,138,213,211,2467,0.19,637, FC11, CA44,,Apple
2817,,10,42,5,735,215,219,140,210,0.84,-505, FC11, CA50,,Melon
3246,18,9,120,11,4333,213,221,144,972,0.93,833, FC11, CA59,,Apple
2216,185,27,216,91,1158,214,247,149,566,0.59,86, FC14, CA23,R1,Carrot
2669,144,15,285,35,2187,240,236,122,2474,0.53,-245, FC13, CA24,,Berry
3262,27,12,577,186,779,215,214,134,895,0.89,98, FC11, CA42,,Apple
2326,282,25,430,253,1437,144,232,224,1073,0.53,-944, FC14, CA30,,Berry
2447,2,8,0,0,1095,209,225,154,1537,0.72,479, FC13, CA40,,Mango
2298,129,21,255,115,1326,249,222,90,999,0.3,-855, FC14, CA23,,Carrot
2311,167,18,361,130,1195,232,244,135,1168,0.61,727, FC14, CA26,,Carrot
3250,275,15,180,21,3206,178,242,203,1279,0.67,534, FC13, CA51,,Apple
3065,292,11,323,36,3097,188,238,189,759,0.51,890, FC13, CA52,R1,Apple
2856,223,13,300,85,1012,203,252,183,1805,0.25,172, FC13, CA33,,Melon
3107,176,7,30,-4,600,224,244,154,2014,0.64,-667, FC11, CA43,,Apple
2704,,9,127,13,153,224,220,130,872,0.3,170, FC13, CA31,,Melon
3389,,30,301,64,3665,137,186,179,3747,0.09,-635, FC11, CA59,,Peach
2699,76,24,108,50,108,241,186,61,966,0.57,-628, FC11, CA50,,Melon
3001,57,18,180,28,4673,229,200,97,1864,0.31,-450, FC11, CA49,,Apple
2833,75,23,218,111,1883,241,189,66,716,0.61,-397, FC13, CA33,,Melon
2111,111,6,0,0,1177,230,234,137,1307,0.83,199, FC14, CA37,,Carrot
2193,38,24,0,0,1338,211,179,91,939,0.12,-386, FC14, CA37,,Carrot
2634,200,6,60,-5,1140,218,245,163,780,0.38,-730, FC13, CA37,R2,Berry
2978,347,38,218,105,277,123,152,149,2003,0.77,279, FC11, CA50,,Apple
2317,75,24,277,75,1298,241,189,66,914,0.82,-377, FC14, CA30,,Berry
2080,62,8,0,0,765,227,223,130,134,0.89,779, FC14, CA24,,Carrot
2443,84,16,42,8,524,241,212,97,1718,0.39,232, FC14, CA26,,Berry
3064,194,10,30,4,3111,218,249,164,5721,0.4,273, FC11, CA40,,Apple
2702,71,22,108,55,120,238,190,71,1723,0.15,-905, FC11, CA50,,Melon
2698,94,31,90,52,90,251,178,32,2466,0.14,-363, FC11, CA50,,Melon
2044,92,15,30,8,480,242,215,98,658,0.88,-693, FC14, CA21,,Carrot
3202,4,12,60,11,3550,204,216,149,3349,0.84,-196, FC11, CA43,,Peach
3193,78,8,67,4,3722,231,226,128,3130,0.77,-401, FC11, CA43,,Peach
2566,77,5,268,20,1292,227,230,138,1383,0.89,-802, FC13, CA22,,Melon
2729,307,12,67,1,1899,186,233,186,659,0.74,560, FC13, CA51,,Melon
2807,8,19,0,0,1507,194,198,137,2389,0.94,-657, FC13, CA40,,Apple
2916,105,13,268,89,5618,242,223,108,4417,0.94,-272, FC11, CA49,,Orange
2048,284,4,30,2,792,209,240,169,636,0.88,-86, FC14, CA37,,Carrot
2094,99,29,85,41,495,252,185,40,175,0.82,79, FC14, CA23,,Carrot
3073,173,12,108,-3,6836,227,246,149,2735,0.33,154, FC11, CA49,,Orange
2234,326,23,212,62,1176,156,207,187,1116,0.97,-722, FC14, CA30,,Berry
2582,144,10,420,54,711,235,238,133,1316,0.57,373, FC13, CA22,,Berry
2508,20,21,0,0,859,201,192,121,1651,0.65,-745, FC13, CA40,R3,Mango
2801,153,12,342,3,450,234,240,135,474,0.9,919, FC11, CA50,,Melon
2228,130,33,242,128,757,252,200,47,210,0.32,642, FC14, CA23,,Carrot
2896,283,9,90,5,2188,196,241,184,1448,0.87,-79, FC13, CA43,,Melon
2073,312,18,0,0,573,168,224,195,162,0.81,511, FC14, CA24,,Carrot
2047,101,5,30,1,900,228,233,139,541,0.8,800, FC14, CA37,,Carrot
3315,13,11,90,11,4434,209,217,144,3966,0.05,-536, FC11, CA58,,Peach
2785,83,32,182,-65,210,244,167,27,2221,0.32,-536, FC11, CA50,,Melon
3031,145,15,240,16,1753,240,236,121,1239,0.05,471, FC11, CA49,,Apple
2793,51,6,272,5,384,223,227,139,711,0.17,350, FC11, CA50,R3,Melon
2740,287,12,272,40,1425,186,239,193,2040,0.29,-113, FC13, CA31,R3,Melon
2239,36,17,0,0,1507,217,200,113,947,0.48,304, FC14, CA37,,Carrot
3148,27,11,446,40,2873,215,217,137,2704,1,-87, FC13, CA52,,Apple
2224,326,14,361,165,484,184,224,179,335,0.14,73, FC14, CA22,,Berry
2247,,11,0,0,1253,228,216,119,664,0.82,-385, FC14, CA22,,Carrot
2976,235,8,0,0,1507,207,247,178,1695,0.16,344, FC13, CA52,,Melon
2346,45,11,242,59,524,223,215,125,601,0.11,542, FC14, CA24,,Berry
2259,115,14,0,0,1338,243,226,109,537,0.07,-77, FC14, CA23,,Carrot
2072,240,26,212,74,433,162,250,218,607,0.41,677, FC14, CA25,,Berry
2171,,38,285,120,446,176,133,66,351,0.73,859, FC14, CA30,,Berry
2109,160,25,30,4,1376,236,236,114,789,0.66,911, FC14, CA21,,Carrot
2795,142,13,30,4,1567,239,237,125,1765,0.39,-508, FC13, CA37,,Melon
2503,354,12,190,20,480,200,218,156,1513,0.36,113, FC14, CA26,,Berry
3345,84,11,417,76,990,235,222,117,1354,0.93,153, FC13, CA59,,Peach
2344,,37,402,14,679,119,237,238,752,0.74,226, FC14, CA21,,Berry
2524,94,7,212,-4,684,232,229,130,5474,0.32,-249, FC11, CA38,,Melon
2362,117,15,212,50,1052,244,225,106,67,0.69,-794, FC14, CA26,,Berry
2750,68,7,30,1,1676,227,226,133,2631,0.41,-727, FC11, CA43,,Melon
2190,142,25,30,10,1124,247,225,91,1167,0.11,-485, FC14, CA23,,Carrot
2809,72,12,60,3,677,234,216,112,218,0.41,609, FC11, CA50,,Melon
2371,,24,350,46,210,150,238,224,778,0.04,-291, FC14, CA30,R2,Berry
2118,154,21,0,0,553,239,237,117,457,0.6,-914, FC14, CA24,,Carrot
2786,316,21,0,0,1487,161,218,195,1813,0.18,841, FC13, CA33,R3,Mango
3219,62,17,42,9,3900,232,202,95,2885,0.21,-343, FC11, CA59,,Peach
3030,342,9,268,58,2242,201,226,164,2598,0.57,2, FC13, CA43,,Apple
2861,190,23,90,18,474,213,250,158,1168,0.28,-624, FC13, CA33,,Melon
2373,336,10,0,0,685,197,226,168,1507,0.1,-569, FC14, CA31,,Carrot
2027,196,20,42,10,592,211,252,167,402,0.01,60, FC14, CA21,,Berry
2303,123,28,201,106,792,253,207,61,1513,0.37,-965, FC14, CA23,,Carrot
2301,111,31,170,76,488,254,190,38,1803,0.72,852, FC14, CA23,,Carrot
2175,,10,0,0,1233,208,250,178,847,0.83,-724, FC14, CA37,,Carrot
2529,68,8,210,-5,666,228,225,130,5484,1,-617, FC11, CA38,,Melon
3273,0,9,190,37,2135,206,222,154,2560,0.28,920, FC11, CA49,,Apple
2827,106,16,192,60,469,246,219,97,1230,0.8,330, FC11, CA50,,Melon
2695,,16,350,11,1541,244,230,109,957,0.48,263, FC13, CA22,R2,Berry
2579,141,9,67,-12,1907,234,238,135,1956,0.33,-743, FC13, CA31,,Berry
2736,,26,108,49,127,221,175,73,1254,0.06,298, FC11, CA49,,Melon
2176,310,33,150,128,313,115,198,213,484,0.61,-792, FC14, CA30,R3,Berry
2280,122,30,162,83,787,254,201,51,1510,0.97,-442, FC14, CA23,,Carrot
2346,224,28,342,52,912,171,252,205,450,0.26,435, FC14, CA26,,Carrot
